香草[香草]	xiang1cao3	noun vanilla 香草冰激凌 xiāngcǎo bīngjilíng vanilla ice cream
神农[神農]	Shen2nong2	noun Sheng Nong, the Holy Farmer (a legendary ruler, the 2nd of the Three August Ones (三皇), supposed to have invented the plough and discovered the curative virtues of plants)
神农氏[神農氏]	Shen2nong2shi4	1 Shennong or Farmer God (c. 2000 BC), first of the legendary Flame Emperors, 炎帝Yándì [炎帝] and creator of agriculture in China 2 followers or clan of Shennong 神农Shénnóng [神农]
炎帝[炎帝]	Yan2di4	noun Yan Di, also known as Shen Nong (神农), a legendary ruler See 34015232炎黄yan2huang2炎黄;34015488炎黄子孙yan2huang2zi3sun1炎黄子孙
精卫填海[精衛填海]	jing1wei4-tian2hai3	idiom mythical bird jingwei trying to fill up the sea with pebbles—dogged determination; persistent
心中有数[心中有數]	xin1zhong1 you3 shu4	idiom know fairly well
胸有成竹[胸有成竹]	xiong1you3cheng2zhu2	idiom have a well-thought-out plan, stratagem, etc. 明年的生产计划, 厂长已胸有成竹。 Míngnián de shēngchǎn jìhuà, chǎngzhǎng yǐ xiōngyǒuchéngzhú. The factory director has a well-thought-out plan for next year’s production.
滥竽充数[濫竽充數]	lan4yu2-chong1shu4	idiom pass oneself off as one of the players in an ensemble—(of incompetent people or inferior goods) be there just to make up the number; pass off as an expert or a brand name; fill a post without real qualifications
因循守旧[因循守舊]	yin1xun2-shou3jiu4	idiom stick to old ways; follow the beaten track (opp. 破旧立新)
教条[教條]	jiao4tiao2	noun 1 dogma; doctrine; creed 2 tenet 教条式的理解 jiàotiáo shì de lǐjiě dogmatic interpretations 马克思主义不是教条。 Mǎkèsīzhǔyì bù shì jiàotiáo. Marxism is not a dogma.  adjective dogmatic; opinionated 这个人既教条又狂妄。 zhège rén jì jiàotiáo yòu kuángwàng. The man is opinionated and arrogant.
韩非子[韓非子]	Han2 Fei1zi3	Han Feizi, book of Legalist Philosophy authored by Han Fei 韩非 Hán Fēi [韩非] during the Warring States Period (475-220 BC)
智者[智者]	zhi4zhe3	sage; wise person; smart and resourceful person
史记[史記]	Shi3ji4	noun Records of the Historian (by Sima Qian (司马迁) of the Han Dynasty)
山海经[山海經]	Shan1hai3jing1	noun the Classic of Mountains and Rivers
列子[列子]	Lie4zi3	1 Lie Zi, Daoist author, said to be early Warring States period 战国 2 Daoist text in eight chapters, said to be by Lie Zi, probably compiled during WeiJin times 魏晋 (3rd century AD)
淮南子[淮南子]	Huai2nan2zi5	miscellany of writing from the Western Han (aka Former Han)
错综复杂[錯綜複雜]	cuo4zong1-fu4za2	idiom intricate; complex 小说的情节错综复杂, 引人入胜。 Xiǎoshuō de qíngjié cuòzōngfùzá, yǐnrénrùshèng. The plot of the novel is intricate and fascinating.
谋士[謀士]	mou2shi4	noun adviser; counsellor
不兴[不興]	bu4xing1	verb colloquial 1 out of fashion (or style); outmoded 现在不兴中山装了。 Xiànzài bù xīng Zhōngshānzhuāng le. The Chinese tunic suit is out of fashion now. 2 impermissible; not allowed 不兴这样做。 Bù xīng zhèyàng zuò. That’s not allowed. 3 [only in a rhetorical question] can't 你干吗嚷嚷, 就不兴小点儿声吗？ Nǐ gànmá rāngrang, jiù bù xīng xiǎo diǎnr shēng ma？ Why shout? Can’t you lower your voice a bit?
走马看花[走馬看花]	zou3ma3 kan4 hua1	idiom look at flowers while riding a horse—gain a shallow understanding from a fleeting glance; perfunctory and superficial
瓶颈[瓶頸]	ping2jing3	noun 1 bottleneck; neck of a bottle 2 figurative bottleneck; major obstacle 瓶颈式通货膨胀 píngjǐng shì tōnghuò péngzhàng bottleneck inflation 交通瓶颈 jiāotōng píngjǐng traffic bottleneck
腼腆[靦腆]	mian3tian5	adjective shy; bashful 腼腆温柔的少女 miǎntian wēnróu de shàonǚ sweet shy girl 这孩子见了生人有点儿腼腆。 zhè háizi jiàn le shēngrén yǒudiǎnrmiǎntian. The child is shy with strangers.
二货[二貨]	er4huo4	1 (slang) fool 2 dunce 3 foolishly cute person
逗比[逗比]	dou4bi1	(slang) silly but amusing person
马子[馬子]	ma3zi3	1 (slang) girl 2 chick 3 babe
奏效[奏效]	zou4//xiao4	verb prove effective; successful; get the desired result 这个办法能奏效吗？ Zhège bànfǎ néng zòuxiào ma？ Will this method work? 这药服了马上奏效。 Zhè yào fú le mǎshàng zòuxiào. This medicine will have an immediate effect. or This medicine works fast. 这个队换用了 4-2-4 阵式, 这一着儿果然奏效。 zhège duì huàn yòng le 4-2-4  zhènshì, zhè yī zhāor guǒrán zòuxiào. The team changed its formation to a 4-2-4 one, which proved effective.
导览[導覽]	dao3lan3	1 (visitor, tour, audio etc) guide 2 guided tour 3 (site) navigator 4 to guide
酒厂[酒廠]	jiu3chang3	noun brewery; winery; distillery
长官[長官]	zhang3guan1	noun dated senior officer (or official); commanding officer
拾荒[拾荒]	shi2//huang1	verb 1 glean a field; glean and collect scraps (to eke out an existence) 2 figurative glean information; gather rare material for writing a book, etc.
纸[紙]	zhi3	noun paper 一张纸 yī zhāng zhǐ a piece (or sheet) of paper Ａ４纸 À zhǐ A4 paper  measure word literary [for letters, documents, etc.] 一纸公文 yī zhǐ gōngwén a document 单据三纸 dānjù sān zhǐ three bills
材质[材質]	cai2zhi4	noun quality of material
买椟还珠[買櫝還珠]	mai3du2-huan2zhu1	idiom keep the glittering casket and give back the pearls—show lack of judgement; make the wrong choice
塑胶[塑膠]	su4jiao1	noun plastic cement
借指[借指]	jie4zhi3	1 to refer to 2 metaphor
俾[俾]	bi3	verb literary make; cause; enable 对该项工程应予大力支持, 俾能按期完成。 Duì gāi xiàng gōngchéng yīng yǔ dàlì zhīchí, bǐ néng ànqī wánchéng. We should give this project every support so as to complete it on schedule.
门可罗雀[門可羅雀]	men2ke3luo2que4	idiom you can catch sparrows on the doorstep—visitors are few and far between
匡[匡]	kuang1	verb 1 literary rectify; correct 过则匡之 guò zé kuāng zhī correct the error when it occurs 2 literary assist; save 匡我不逮 kuāng wǒ bù dǎi help me to overcome my shortcomings 3 colloquial roughly estimate 匡一匡 kuāng yī kuāng make a guess; give a rough estimate  noun (Kuāng) a surname
流涎[流涎]	liu2xian2	slobber; slaver; drool; salivate
太子[太子]	tai4zi3	noun crown prince
愍[愍]	min3	1 to sympathize 2 to pity 3 to feel compassion for
谏[諫]	Jian4	surname Jian
毡子[氈子]	zhan1zi5	noun felt; felt rug; felt blanket
屡[屢]	lü3	adverb time and again; repeatedly 屡试屡踬 lǚshìlǚzhì fail at each trial 屡战屡胜 lǚzhànlǚshèng have fought many battles and won every one of them; score one victory after another 屡战屡败(北) lǚ zhàn lǚ bài lose one battle (or game) after another; suffer repeated defeats 屡遭不测 lǚzāobùcè have a series of accidents 屡遭打击 lǚ zāo dǎjī repeatedly came under attack
反躬自问[反躬自問]	fan3gong1-zi4wen4	idiom examine oneself; examine one's conscience
笼统[籠統]	long3tong3	adjective general; sweeping; unclear; vague 笼统地说 lǒngtǒng de shuō generally speaking; in short 笼统地解释一下 lǒngtǒng de jiěshì yīxià explain in generalities 说话笼统 shuōhuà lǒngtǒng be general in one’s statements; speak in general terms 这么说未免太笼统了。 Zhème shuō wèimiǎn tài lǒngtǒng le. That statement is rather too sweeping.
真空[真空]	zhen1kong1	noun 1 physics vacuum 未尽真空 Wèi jìn zhēnkōng partial vacuum 2 figurative world free from human frailties 我们绝非活在真空中。 Wǒmen juéfēi huó zài zhēnkōng zhōng. We live but in an earthly world.
薯[薯]	shu3	noun potato; yam 白薯 báishǔ sweet potato
盥洗[盥洗]	guan4xi3	verb literary wash one's hands and face
壹[壹]	yi1	number one [used as the numeral 一 on cheques, banknotes, etc. to avoid mistakes or alterations]
笥[笥]	si4	noun literary bamboo-plaited basket or suitcase
有闲[有閒]	you3xian2	verb have leisure 有闲阶级 yǒuxián jiējí leisured classes; the idle rich
套交情[套交情]	tao4//jiao1qing5	verb cultivate a friendship; suck up to 跟某官套交情 Gēn mǒu guān tàojiāoqing cozy up to an official
发夹[髮夾]	fa4jia1	noun hairpin; bobby pin; hairclip; barrette
吃味[吃味]	chi1wei4	1 to be jealous 2 to envy
麻吉[麻吉]	ma2ji2	1 (slang) (Tw) close friend 2 best pal 3 to get along well 4 to be tight 5 congenial
歹势[歹勢]	dai3shi4	1 excuse me 2 to be sorry 3 (Taiwanese, POJ pr. [phái-sè])
衰运[衰運]	shuai1yun4	decline in fortunes
代理权[代理權]	dai4li3 quan2	attorneyship; procuration; proxy
放晴[放晴]	fang4//qing2	verb clear up (after rain) 天一放晴咱们就出门。 tiān yī fàngqíng zánmen jiù chūmén. We’ll start our journey as soon as it clears up.
经心[經心]	jing1xin1	adjective careful; mindful; conscientious 经心搜集各种资料 jīngxīn sōují gèzhǒng zīliào carefully collect all kinds of data 干什么工作都要经心。 Gàn shénme gōngzuò dōu yào jīng xīn. All work should be done conscientiously. 你看宝玉何尝肯念书？他若一经心, 无有不能的。(《红楼梦》) Nǐ kàn bǎoyù hécháng kěn niànshū？ Tā ruò yījīng xīn, wú yǒu bù néng de. (《Hónglóu Mèng》) Baoyu never showed any inclination to study, yet he’d only to glance at a book to master it.
嘉义[嘉義]	Jia1yi4	Jiayi or Chiayi city and county in west Taiwan
奇异笔[奇異筆]	qi2yi4bi3	marker (writing instrument)
支系[支系]	zhi1xi4	branch or subdivision of a family
因纽特人[因紐特人]	Yin1niu3te4ren2	Inuit
印第安人[印第安人]	Yin4di4an1ren2	American Indian; Native American
回见[回見]	hui2//jian4	verb colloquial see you later (or again); cheerio
介质[介質]	jie4zhi4	noun physics medium 工作介质 Gōngzuò jièzhì actuating medium
见笑[見笑]	jian4xiao4	verb 1 laugh at (me or us) 我刚开始学, 您可别见笑。 Wǒ gāng kāishǐ xué, nín kě bié jiànxiào. Now don’t laugh at me. I’m only a beginner. 2 often self-deprecating incur ridicule (by one's poor performance) 写得不好, 见笑, 见笑。 Xiě de bù hǎo,  jiàn xiào, jiàn xiào. Excuse my poor writing.
名扬四海[名揚四海]	ming2yang2si4hai3	idiom known far and wide; world-renowned; famous far and wide
担待[擔待]	dan1dai4	verb colloquial 1 be magnanimous; be tolerant 他初来乍到, 你多担待些。 tā chūláizhàdào, nǐ duō dāndài xiē. He’s new here. Go easy on him. 2 bear the responsibility 你放心吧, 一切由我担待。 Nǐ fàngxīn ba, yīqiè yóu wǒ dāndài. Have no fear. I’ll bear all the responsibility.
不周[不周]	bu4zhou1	adjective not attentive; thoughtless; inconsiderate 计划不周 Jìhuà bùzhōu not well planned; not planned carefully enough 招待不周 zhāodài bùzhōu not be attentive enough to guests; not look after guests well enough
拜会[拜會]	bai4hui4	verb [often for diplomatic occasions] pay an official call; call on 正式拜会 zhèngshì bàihuì pay (or make) an official call on  noun visit; call 告别拜会 gàobié bàihuì farewell call 私人拜会 sīrén bàihuì personal visit; private visit (or call) 礼节性拜会 lǐjié xìng bàihuì courtesy call 事务性拜会 Shìwùxìng bàihuì business call
夭折[夭折]	yao1zhe2	verb 1 die young 2 figurative come to a premature end 谈判中途夭折。 Tánpàn zhōngtú yāozhé. The negotiations came to a premature end.
短路[短路]	duan3lu4	noun electricity short circuit  verb 1 short-circuit 供电线短路了。 Gōng diànxiàn duǎnlù le. The electricity supply short-circuited. 2 dialect waylay; hold up
结拜[結拜]	jie2bai4	verb become sworn brothers or sisters
互惠互利[互惠互利]	hu4hui4hu4li4	reciprocity and mutual benefit
冰刀[冰刀]	bing1dao1	noun sports (ice) skates
下文[下文]	xia4wen2	noun 1 in the following passage, paragraph, article, etc.; further down (opp. 上文) 下文再作阐述 Xià wén zài zuò chǎnshù explain in the ensuing chapters or paragraphs or further down 2 later development; outcome; sequel 申请书交上去两个星期了, 还没有下文。 Shēnqǐngshū jiāo shàng qù liǎng ge xīngqī le, hái méiyǒu xiàwén. The application was handed in a couple of weeks ago, but so far there’s been no reply. 事情并没有就此结束, 还有下文哩。 Shìqing bìng méiyǒu jiù cǐ jiéshù, háiyǒu xiàwén li. The matter just didn’t end there, there was more.
雪藏[雪藏]	xue3cang2	verb 1 dialect freeze; refrigerate 雪藏果汁 xuěcáng guǒzhī cold fruit juice 2 figurative conceal; keep idle intentionally 教练把主力雪藏起来, 决赛再派上场。 jiàoliàn bǎ zhǔlì xuěcáng qǐlai, juésài zài pài shàngchǎng. The coach kept the top players till the final. 3 shelve; lay aside 涉毒艺人被雪藏。 Shè dú yìrén bèi xuěcáng. The star involved in drug trafficking was rested.
郎才女貌[郎才女貌]	lang2cai2-nü3mao4	idiom a brilliant young scholar and a beautiful woman—a fine couple; a perfect match
下三滥[下三濫]	xia4san1lan4	1 riffraff 2 scum 3 lowlife 4 despicable 5 inferior
回绝[回絕]	hui2jue2	verb decline; refuse 一口回绝 yī kǒu huíjué flatly refuse 她婉言回绝了他的邀请。 Tā wǎnyán huíjué le tā de yāoqǐng. She declined his invitation politely.
杈[杈]	cha4	noun (tree) branch 树杈 shùchà crotch (of a tree)
杈[杈]	cha1	noun wooden fork; hayfork; pitchfork
江湖[江湖]	jiang1hu2	noun rivers and lakes—all corners of the country; the wide world 流落江湖 liúluòjiānghú live a vagabond life 自叙少小时欢乐事, 今漂沦憔悴, 转徙于江湖间。(白居易《琵琶行》) zìxù shǎo xiǎoshí huānlè shì, jīn piāolún qiáocuì, zhuǎnxǐ yú jiānghú jiān. She told me of the pleasures of her youth and said now that her beauty had faded she was drifting from place to place by rivers and lakes.
纸包不住火[紙包不住火]	zhi3 bao1bu5zhu4 huo3	well-known phrase you can't wrap fire in paper—there is no concealing the truth; truth will out
援助交际[援助交際]	yuan2zhu4jiao1ji4	Enjo-kōsai or "compensated dating", a practice which originated in Japan where older men give money or luxury gifts to women for their companionship and sexual favors
援交[援交]	yuan2jiao1	abbr. for 援助交际yuánzhùjiāojì [援助交际]
麻子[麻子]	ma2zi5	noun 1 pockmarks 他脸上有几点儿麻子。 Tā liǎn shàng yǒu jǐ diǎnrmázi. He’s got a few pockmarks on his face. 2 person with a pockmarked face
波霸[波霸]	bo1ba4	1 (slang) (loanword) big boobs 2 big-breasted 3 (coll.) tapioca balls, in 波霸奶茶bōbànǎichá [波霸奶茶]
打包票[打包票]	da3//bao1piao4	verb vouch for; guarantee 我敢打包票, 机器一定准时送到。 Wǒ gǎn dǎ bāopiào, jīqì yīdìng zhǔnshí sòng dào. I guarantee that the machines will be delivered on time. 这件事你可不能给人打包票。 Zhè jiàn shì nǐ kě bù néng gěi rén dǎbāo piào. This is not a matter in which you can vouch for other people. (17206528包票bao1piao4包票 bao1piao4)
酒保[酒保]	jiu3bao3	noun dated bartender; barkeeper
喝挂[喝掛]	he1gua4	1 (coll.) to get drunk 2 to get hammered
刺青[刺青]	ci4qing1	noun tattoo 他背上满是刺青。 Tā bèishang mǎnshì cìqīng. His back is covered in tattoos.  verb tattoo; have a tattoo done (on) 让人在手臂上刺青 Ràngrén zài shǒubì shàng cìqīng have a tattoo done on one’s arm
临门[臨門]	lin2men2	verb 1 arrive at the door; be on the doorstep 贵客临门。 Guìkè línmén. A distinguished guest came to the house. 双喜临门。 shuāngxǐ línmén A double blessing has descended upon the house. 2 at the goal 临门一脚 línményījiǎo (in football) shoot (at the goal) after breaking through the opponent’s defence; go for the goal
释迦[釋迦]	shi4jia1	1 Sakya (name of a north Indian tribe) 2 abbr. for 释迦牟尼 Sakyamuni Buddha 3 sugar apple
尾牙[尾牙]	wei3ya2	a year-end dinner for employees
割礼[割禮]	ge1li3	noun religion circumcision 行割礼 xíng gēlǐ circumcise sb.
葡萄干[葡萄乾]	pu2tao5gan1	1 raisin 2 dried grape
上眼睑[上眼瞼]	shang4yan3jian3	upper eyelid
擘[擘]	bai1	verb 1 break off with the fingers 掰玉米 bāi yùmǐ break off corncobs 掰着手指算 bāi zhe shǒuzhǐ suàn count on one’s fingers 把饼掰成两半 Bǎ bǐng bāi chéng liǎng bàn break the cake in two 一分钱掰成两半花 yī fēn qián bāi chéng liǎng bàn huā watch every penny 2 dialect break up (relationship); fall out 他俩结婚才一年就掰了。 Tāliǎ jiéhūn cái yī nián jiù bāi le. They broke up after only one year of marriage. 3 dialect analyse; study; examine 我们把问题掰了一上午, 还是理不清头绪。 Wǒmen bǎ wèntí bāi le yī shàngwǔ, háishi lǐ bùqīng tóuxù. We spent the whole morning going over the problem, but still failed to sort it out.
擘[擘]	bo4	noun literary thumb
军法[軍法]	jun1fa3	noun military criminal code; military law 军法从事 jūnfǎcóngshì punish according to military law
舍人[舍人]	she4ren2	1 ancient office title 2 rich and important person
房玄龄[房玄齡]	Fang2 Xuan2ling2	Fang Xuanling (579-648), Tang dynasty historian, compiler of History of Jin dynasty 晋书
如坐针毡[如坐針氈]	ru2zuo4zhen1zhan1	idiom feel as if sitting on a bed of nails; be on pins and needles; be on tenterhooks
囫囵吞枣[囫圇吞棗]	hu2lun2-tun1zao3	idiom swallow a date whole—gobble down information without digesting it; read without understanding 读这份资料要细嚼慢咽, 不能囫囵吞枣。 Dú zhè fèn zīliào yào xìjiáomànyàn, bùnéng húlúntūnzǎo. You must read the texts carefully, and not gloss over them without properly digesting them.
张僧繇[張僧繇]	Zhang1 Seng1you2	Zhang Sengyou (active c. 490-540), one of the Four Great Painters of the Six dynasties 六朝四大家
画龙点睛[畫龍點睛]	hua4long2-dian3jing1	idiom bring a painted dragon to life by putting in the pupils of its eyes—add the touch that brings a work of art to life; add the finishing touch; add an apt word to clinch the point
对牛弹琴[對牛彈琴]	dui4niu2-tan2qin2	idiom play the lute to a cow—address the wrong audience; talk over sb.'s head
扪心自问[捫心自問]	men2xin1-zi4wen4	idiom examine one's conscience; ask oneself 扪心自问, 我从没亏待过你。 ménxīnzìwèn, wǒ cóngméi kuīdài guò nǐ. I have searched my conscience, and believe I have never mistreated you.
问心无愧[問心無愧]	wen4xin1-wu2kui4	idiom feel no qualms upon self-examination; have a clear conscience 这件事我问心无愧。 Zhè jiàn shì wǒ wènxīnwúkuì. I have done nothing to be ashamed of! 你只要问心无愧, 就不必感到不安。 Nǐ zhǐyào wènxīnwúkuì, jiù bùbì gǎndào bù'ān. You have nothing to worry about as long as you have a clear conscience.
心安理得[心安理得]	xin1an1-li3de2	idiom feel at ease and justified; have an easy conscience; with mind at rest and conscience clear 你能心安理得地把全部责任都推到他一人身上吗？ Nǐ néng xīn'ānlǐdé de bǎ quánbù zérèn dōu tuī dào tā yī rén shēnshang ma？ Can you shift the blame onto him alone with a clear conscience?
光明磊落[光明磊落]	guang1ming2-lei3luo4	idiom open and aboveboard 他为人光明磊落。 tā wéirén guāngmínglěiluò. He is open and aboveboard with others.
郴州[郴州]	Chen1zhou1	noun Chenzhou (a city in Hunan Province)
典故[典故]	dian3gu4	noun allusion; literary quotation
杯弓蛇影[杯弓蛇影]	bei1gong1-she2ying3	idiom mistake the reflection of a bow in the cup for a snake—beset with imaginary fears; extremely suspicious; jittery
义愤[義憤]	yi4fen4	noun righteous (or moral) indignation 激于义愤 jīyúyìfèn be stirred by righteous indignation 满腔义愤 mǎnqiāng yìfèn be filled with indignation
晋书[晉書]	Jin4shu1	History of the Jin Dynasty, fifth of the 24 dynastic histories 二十四史 Èrshísì Shǐ [二十四史], compiled under Fang Xuanling 房玄龄 Fáng Xuánlíng [房玄龄] in 648 during Tang Dynasty 唐朝Tángcháo [唐朝], 130 scrolls
报国[報國]	bao4//guo2	verb dedicate oneself to the service of one's country 报国无门 bàoguówúmén be denied the opportunity to serve one’s country 以身报国 yǐ shēn bàoguó lay down one’s life for one’s country
闻鸡起舞[聞雞起舞]	wen2ji1-qi3wu3	idiom rise at cock's crow—diligent and self-disciplined
屣[屣]	xi3	noun literary shoe 弃之如敝屣 qìzhīrúbìxǐ throw away like a pair of ragged (or shabby, worn-out) shoes; discard
赵国[趙國]	Zhao4 Guo2	Zhao, one of the seven states during the Warring States Period of Chinese history (475-220 BC)
刘向[劉向]	Liu2 Xiang4	Liu Xiang (77-6 BC), Han Dynasty scholar and author
叶公好龙[葉公好龍]	Ye4gong1-hao4long2	idiom Lord Ye's love of dragons —professed love of what one really fears
险要[險要]	xian3yao4	adjective strategically located and difficult of access
塞翁失马焉知非福[塞翁失馬焉知非福]	sai4weng1shi1ma3yan1zhi1fei1fu2	1 the old man lost his mare, but it all turned out for the best (idiom); fig. a blessing in disguise 2 it's an ill wind that blows nobody any good
盲人摸象[盲人摸象]	mang2ren2-mo1xiang4	idiom a group of blind men trying to describe an elephant, each mistaking the part he touches for the whole animal—mistake a part for the whole; draw conclusions from incomplete data
韩愈[韓愈]	Han2 Yu4	Han Yu (768-824), Tang dynasty essayist and poet, advocate of the classical writing 古文运动 and neoclassical 复古 movements
坐井观天[坐井觀天]	zuo4jing3-guan1tian1	idiom look at the sky from the bottom of a well—have a very narrow view; parochial
心急吃不了热豆腐[心急吃不了熱豆腐]	xin1ji2chi1bu5liao3re4dou4fu5	1 hasty men don't get to eat hot tofu (idiom) 2 one just has to be patient 3 haste will ruin everything
亡羊补牢[亡羊補牢]	wang2yang2-bu3lao2	idiom mend the fold after the sheep is lost 亡羊补牢, 犹未为晚。 Wángyángbǔláo, yóu wèi wéi wǎn. It is not too late to mend the fold even after the sheep is lost. or It’s never too late to try.
盾牌[盾牌]	dun4pai2	noun 1 shield; buckler; pelta 2 pretext; excuse
自欺欺人[自欺欺人]	zi4qi1-qi1ren2	idiom deceive oneself as well as others 完全是自欺欺人之谈 wánquán shì zìqīqīrén zhī tán a gross deception; thoroughly false
掩耳盗铃[掩耳盜鈴]	yan3er3-dao4ling2	idiom plug one's ears while stealing a bell—deceive oneself; bury one's head in the sand
败露[敗露]	bai4lu4	verb (of a plot, etc.) fall through and be exposed; uncover 败露无遗 bàilù wúyí be exposed as a crook; totally shown up 阴谋终于败露。 Yīnmóu zhōngyú bàilù. The conspiracy was finally brought to light.
此地无银三百两[此地無銀三百兩]	ci3di4 wu2 yin2 san1bai3 liang3	well-known phrase no 300 taels of silver buried here (the sign put up by the man in the folk tale over the place where he had hidden some money)— a clumsy denial resulting in self-exposure 你说这话不是此地无银三百两吗！ nǐ shuō zhè huà bù shì cǐdìwúyínsānbǎiliǎng ma! What you said only gave yourself away.
朝三暮四[朝三暮四]	zhao1san1-mu4si4	idiom blow hot and cold; chop and change; changeable
远征军[遠征軍]	yuan3zheng1jun1	expeditionary army (or force)
战国策[戰國策]	Zhan4guo2ce4	"Strategies of the Warring States", chronicle of the Warring States Period (475-220 BC), possibly written by Su Qin 苏秦 Sū Qín [苏秦]
本末倒置[本末倒置]	ben3mo4-dao4zhi4	idiom mistake the branch for the root—put the cart before the horse; reverse the proper order; stand things on their head 强调方法而牺牲内容, 无异于本末倒置。 Qiángdiào fāngfǎ ér xīshēng nèiróng, wúyìyú běnmòdàozhì. To emphasize method at the expense of content is to put the cart before the horse.
舍本逐末[捨本逐末]	she3ben3-zhu2mo4	idiom attend to trifles and neglect essentials
取舍[取捨]	qu3she3	verb accept or reject; make one's choice 对技术资料进行分析后决定取舍 Duì jìshù zīliào jìnxíng fēnxi hòu juédìng qǔ-shě analyse all the technical data first and then decide what to use
顿悟[頓悟]	dun4wu4	verb 1 Buddhism realize the truth suddenly; revelation 2 [often in a philosophical sense] suddenly realize; sudden enlightenment
相得益彰[相得益彰]	xiang1de2-yi4zhang1	idiom each shine more brilliantly in the other's company; bring out the best in each other; complement each other
劝勉[勸勉]	quan4mian3	verb literary advise and encourage 互相劝勉 Hùxiāng quànmiǎn help and encourage each other
吕氏春秋[呂氏春秋]	Lü3shi4 Chun1qiu1	lit. “Mr. Lü's Spring and Autumn (Annals)”, compendium of the philosophies of the Hundred Schools of Thought 诸子百家zhūzǐbǎijiā [诸子百家], compiled around 239 BC under the patronage of Qin Dynasty 秦代Qíndài [秦代] Chancellor Lü Buwei 吕不韦 Lǚ Bùwéi [吕不韦]
拘泥[拘泥]	ju1ni4	verb be a stickler for (form, etc.); rigidly adhere to (formalities, etc.) 拘泥成说 jūnì chéngshuō rigidly adhere to accepted theories 拘泥于细节 jūnìyú xìjié punctilious; detailed 拘泥于形式 Jūnì yú xíngshì rigidly adhere to form; formalistic  adjective VARIANT OF 24570624拘谨ju1jin3拘谨 overcautious; reserved
变通[變通]	bian4tong1	verb flexible; accommodate (or adapt) sth. to circumstances 变通(的)办法 biàntōng bànfǎ accommodation; adjustment 根据不同情况作适当的变通 gēnjù bùtóng qíngkuàng zuò shìdàng de biàntōng make appropriate adjustments in the light of specific conditions
侥幸心理[僥倖心理]	jiao3xing4xin1li3	1 trusting to luck 2 wishful thinking
桃花运[桃花運]	tao2hua1yun4	noun 1 a man's luck in love 走桃花运 zǒu táohuāyùn be lucky in love; have pleasant love affairs 2 good luck
攻势[攻勢]	gong1shi4	noun offensive (opp. 守势) 采取攻势 cǎiqǔ gōngshì take the offensive 政治攻势 zhèngzhì gōngshì political offensive 客队攻势凌厉。 Kèduì gōngshì línglì. The visiting team maintained a powerful offensive.
凌厉[凌厲]	ling2li4	adjective swift and fierce 攻势凌厉 Gōngshì línglì swift and fierce attack 朔风凌厉。 Shuòfēng línglì. A north wind was blowing hard.
霈[霈]	pei4	literary noun heavy rain 甘霈 gānpèi timely (or welcome) rain  adjective rainy; (of rain) profuse 霈然大雨。 pèi rán dàyǔ. It was raining heavily.
系[系]	xi4	noun 1 system; series 语系 yǔxì language family 太阳系 tàiyángxì solar system 2 department (in a college); faculty 哲学系 zhéxuéxì the department of philosophy 3 geology system 奥陶系 ào táo xì the Ordovician system
此致敬礼[此致敬禮]	Ci3zhi4 jing4li3!	With best regards.
熟络[熟絡]	shu2luo4	1 familiar 2 close
礼多人不怪[禮多人不怪]	li3 duo1 ren2 bu4 guai4	well-known phrase Nobody will blame you for being too polite. or One can never be too courteous. or Nobody is offended by excessive politeness.
冗长[冗長]	rong3chang2	adjective tediously long; lengthy; long-winded; prolix 冗长的讲演 rǒngcháng de jiǎngyǎn long and tedious speech
代班[代班]	dai4ban1	1 (Tw) to take over sb's job 2 to substitute for
人资[人資]	ren2zi1	abbr. of 人力资源rénlìzīyuán [人力资源]
人力资源[人力資源]	ren2li4 zi1yuan2	human resources
变心[變心]	bian4//xin1	verb cease to be faithful; change loyalties; break faith 他变了心, 把女友给甩了。 Tā biàn le xīn, bǎ nǚyǒu gěi shuǎile. He lost interest in his girlfriend and ditched her.
龟毛[龜毛]	gui1mao2	1 indecisive 2 fussy 3 nitpicking (Taiwan dialect)
吹毛求疵[吹毛求疵]	chui1mao2-qiu2ci1	idiom find fault with; pick holes in; nitpick 总之, 这是一本好书, 对小处不必吹毛求疵。 Zǒngzhī, zhè shì yī běn hǎo shū, duì xiǎo chù bùbì chuīmáoqiúcī. On the whole it’s a good book; and it would be nitpicking to dwell on those small defects.
沙龙[沙龍]	sha1long2	noun salon 文学沙龙 wénxué shālóng literary salon 学术沙龙 xuéshù shālóng academic salon
秋葵[秋葵]	qiu1kui2	1 okra (Hibiscus esculentus) 2 lady's fingers
毛豆[毛豆]	mao2dou4	noun young (or fresh) soya bean
日耳曼[日耳曼]	Ri4er3man4	Germanic
作坊[作坊]	zuo1fang5	noun workshop 生产纺织品的作坊 shēngchǎn fǎngzhīpǐn de zuōfang textile workshop
萨尔瓦多[薩爾瓦多]	Sa4er3wa3duo1	El Salvador
矽胶[矽膠]	xi1jiao1	1 (Tw) silica gel 2 silicone rubber
牙套[牙套]	ya2tao4	noun dentistry (orthodontic) braces
维尼熊[維尼熊]	Wei2ni2xiong2	Winnie the Pooh
庆典[慶典]	qing4dian3	noun celebration; a ceremony to celebrate 举行盛大的庆典 Jǔxíng shèngdà deqìngdiǎn hold a grand celebration
双下巴[雙下巴]	shuang1xia4ba5	noun double chin
惯用语[慣用語]	guan4yong4yu3	linguistics customary usage; locution; phrase; fixed expression
铁轨[鐵軌]	tie3gui3	railway track
